act,scene,stagegroup,speaker,onstage,n_tokens,n_lines
4,1,52,#Archbishop_1H4,#Archbishop_1H4 #Hastings_2H4 #LordBardolph_2H4 #Mowbray_2H4 #SOLDIERS.REBEL_2H4,101,15
4,1,52,#Hastings_2H4,#Archbishop_1H4 #Hastings_2H4 #LordBardolph_2H4 #Mowbray_2H4 #SOLDIERS.REBEL_2H4,14,2
4,1,52,#Mowbray_2H4,#Archbishop_1H4 #Hastings_2H4 #LordBardolph_2H4 #Mowbray_2H4 #SOLDIERS.REBEL_2H4,15,2
4,1,53,#Hastings_2H4,#Archbishop_1H4 #Hastings_2H4 #LordBardolph_2H4 #MESSENGERS.1_2H4 #Mowbray_2H4 #SOLDIERS.REBEL_2H4,3,1
4,1,53,#MESSENGERS.1_2H4,#Archbishop_1H4 #Hastings_2H4 #LordBardolph_2H4 #MESSENGERS.1_2H4 #Mowbray_2H4 #SOLDIERS.REBEL_2H4,33,4
4,1,53,#Mowbray_2H4,#Archbishop_1H4 #Hastings_2H4 #LordBardolph_2H4 #MESSENGERS.1_2H4 #Mowbray_2H4 #SOLDIERS.REBEL_2H4,18,2
4,1,54,#Archbishop_1H4,#Archbishop_1H4 #Hastings_2H4 #LordBardolph_2H4 #MESSENGERS.1_2H4 #Mowbray_2H4 #SOLDIERS.REBEL_2H4 #Westmoreland_1H4,383,53
4,1,54,#Hastings_2H4,#Archbishop_1H4 #Hastings_2H4 #LordBardolph_2H4 #MESSENGERS.1_2H4 #Mowbray_2H4 #SOLDIERS.REBEL_2H4 #Westmoreland_1H4,27,4
4,1,54,#Mowbray_2H4,#Archbishop_1H4 #Hastings_2H4 #LordBardolph_2H4 #MESSENGERS.1_2H4 #Mowbray_2H4 #SOLDIERS.REBEL_2H4 #Westmoreland_1H4,204,27
4,1,54,#Westmoreland_1H4,#Archbishop_1H4 #Hastings_2H4 #LordBardolph_2H4 #MESSENGERS.1_2H4 #Mowbray_2H4 #SOLDIERS.REBEL_2H4 #Westmoreland_1H4,614,82
4,1,55,#Archbishop_1H4,#Archbishop_1H4 #Hastings_2H4 #LordBardolph_2H4 #MESSENGERS.1_2H4 #Mowbray_2H4 #SOLDIERS.REBEL_2H4,166,23
4,1,55,#Hastings_2H4,#Archbishop_1H4 #Hastings_2H4 #LordBardolph_2H4 #MESSENGERS.1_2H4 #Mowbray_2H4 #SOLDIERS.REBEL_2H4,67,9
4,1,55,#Mowbray_2H4,#Archbishop_1H4 #Hastings_2H4 #LordBardolph_2H4 #MESSENGERS.1_2H4 #Mowbray_2H4 #SOLDIERS.REBEL_2H4,89,12
4,1,56,#Westmoreland_1H4,#Archbishop_1H4 #Hastings_2H4 #LordBardolph_2H4 #MESSENGERS.1_2H4 #Mowbray_2H4 #SOLDIERS.REBEL_2H4 #Westmoreland_1H4,18,2
4,1,57,#Archbishop_1H4,#Archbishop_1H4 #Bedford_H5 #Hastings_2H4 #LordBardolph_2H4 #MESSENGERS.1_2H4 #Mowbray_2H4 #SOLDIERS.HENRY_2H4 #SOLDIERS.REBEL_2H4 #Westmoreland_1H4,172,25
4,1,57,#Bedford_H5,#Archbishop_1H4 #Bedford_H5 #Hastings_2H4 #LordBardolph_2H4 #MESSENGERS.1_2H4 #Mowbray_2H4 #SOLDIERS.HENRY_2H4 #SOLDIERS.REBEL_2H4 #Westmoreland_1H4,373,53
4,1,57,#Hastings_2H4,#Archbishop_1H4 #Bedford_H5 #Hastings_2H4 #LordBardolph_2H4 #MESSENGERS.1_2H4 #Mowbray_2H4 #SOLDIERS.HENRY_2H4 #SOLDIERS.REBEL_2H4 #Westmoreland_1H4,69,9
4,1,57,#Mowbray_2H4,#Archbishop_1H4 #Bedford_H5 #Hastings_2H4 #LordBardolph_2H4 #MESSENGERS.1_2H4 #Mowbray_2H4 #SOLDIERS.HENRY_2H4 #SOLDIERS.REBEL_2H4 #Westmoreland_1H4,55,8
4,1,57,#Westmoreland_1H4,#Archbishop_1H4 #Bedford_H5 #Hastings_2H4 #LordBardolph_2H4 #MESSENGERS.1_2H4 #Mowbray_2H4 #SOLDIERS.HENRY_2H4 #SOLDIERS.REBEL_2H4 #Westmoreland_1H4,77,11
4,1,58,#Archbishop_1H4,#Archbishop_1H4 #Bedford_H5 #Hastings_2H4 #LordBardolph_2H4 #MESSENGERS.1_2H4 #Mowbray_2H4 #SOLDIERS.HENRY_2H4 #SOLDIERS.REBEL_2H4,13,3
4,1,58,#Bedford_H5,#Archbishop_1H4 #Bedford_H5 #Hastings_2H4 #LordBardolph_2H4 #MESSENGERS.1_2H4 #Mowbray_2H4 #SOLDIERS.HENRY_2H4 #SOLDIERS.REBEL_2H4,24,4
4,1,59,#Bedford_H5,#Archbishop_1H4 #Bedford_H5 #LordBardolph_2H4 #MESSENGERS.1_2H4 #Mowbray_2H4 #SOLDIERS.HENRY_2H4 #SOLDIERS.REBEL_2H4,8,1
4,1,60,#Bedford_H5,#Archbishop_1H4 #Bedford_H5 #LordBardolph_2H4 #MESSENGERS.1_2H4 #Mowbray_2H4 #SOLDIERS.HENRY_2H4 #SOLDIERS.REBEL_2H4 #Westmoreland_1H4,11,2
