tag,type,n,text,xml:id,who,lemma,ana,part,rendition,prev,act,scene,onstage,stagegroup_raw,speaker
w,,PRO.12,traffic,fs-rom-0001780,,traffic,#n1,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.12,of,fs-rom-0001800,,of,#acp-p,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.12,our,fs-rom-0001820,,our,#po,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.12,stage,fs-rom-0001840,,stage,#n1,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
pc,,PRO.12,;,fs-rom-0001850,,,,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
l,,PRO.13,,ftln-0013,,,,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
w,,PRO.13,The,fs-rom-0001860,,the,#d,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.13,which,fs-rom-0001880,,which,#crq-r,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
pc,,PRO.13,",",fs-rom-0001890,,,,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.13,if,fs-rom-0001910,,if,#cs,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.13,you,fs-rom-0001930,,you,#pn,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.13,with,fs-rom-0001950,,with,#acp-p,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.13,patient,fs-rom-0001970,,patient,#j,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.13,ears,fs-rom-0001990,,ear,#n2,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
c,,, ,,,,,,,,0,0,#Chorus_Rom,1,
w,,PRO.13,attend,fs-rom-0002010,,attend,#vvb,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
pc,,PRO.13,",",fs-rom-0002020,,,,,,,0,0,#Chorus_Rom,1,#Chorus_Rom
