source,target,n_lines,n_tokens,edge_type
#Pistol_2H4,1.03.0017,13,73,active
#Pistol_2H4,2.01.0035,16,95,active
#Pistol_2H4,2.02.0043,5,30,active
#Pistol_2H4,2.02.0046,3,27,active
#Pistol_2H4,5.05.0142,8,50,active
#Pistol_2H4,5.05.0143,10,59,active
#Robert_Wiv,3.03.0081,1,4,active
#Robert_Wiv,4.02.0112,2,16,active
#Robin_Wiv,2.02.0044,1,8,active
#Robin_Wiv,3.02.0063,2,16,active
#Robin_Wiv,3.02.0064,1,3,active
#Robin_Wiv,3.03.0073,6,51,active
#Robin_Wiv,3.03.0077,4,23,active
#Rugby_Wiv,1.04.0019,1,3,active
#Rugby_Wiv,1.04.0021,1,6,active
#Rugby_Wiv,1.04.0026,2,9,active
#Rugby_Wiv,2.03.0053,7,34,active
#Shallow_2H4,1.01.0001,17,103,active
#Shallow_2H4,1.01.0002,16,130,active
#Shallow_2H4,1.01.0003,4,26,active
#Shallow_2H4,1.01.0008,13,90,active
#Shallow_2H4,1.01.0009,3,22,active
#Shallow_2H4,2.01.0041,18,147,active
#Shallow_2H4,2.03.0054,20,150,active
#Shallow_2H4,3.01.0059,11,76,active
#Shallow_2H4,3.01.0060,1,6,active
#Shallow_2H4,3.01.0061,2,8,active
#Shallow_2H4,3.02.0066,7,44,active
#Shallow_2H4,3.04.0089,11,68,active
#Shallow_2H4,4.02.0113,1,8,active
#Shallow_2H4,4.02.0114,2,12,active
#Shallow_2H4,5.02.0135,3,24,active
#Simple_Wiv,1.01.0008,3,19,active
#Simple_Wiv,1.02.0013,1,2,active
#Simple_Wiv,1.04.0020,8,55,active
#Simple_Wiv,1.04.0028,6,40,active
#Simple_Wiv,3.01.0056,4,21,active
#Simple_Wiv,3.01.0058,4,27,active
#Simple_Wiv,4.05.0123,5,43,active
#Simple_Wiv,4.05.0124,18,125,active
#Slender_Wiv,1.01.0001,17,94,active
#Slender_Wiv,1.01.0002,3,20,active
#Slender_Wiv,1.01.0003,24,165,active
#Slender_Wiv,1.01.0005,1,7,active
#Slender_Wiv,1.01.0007,2,15,active
#Slender_Wiv,1.01.0008,24,190,active
#Slender_Wiv,1.01.0010,5,32,active
#Slender_Wiv,1.01.0011,22,191,active
#Slender_Wiv,1.01.0012,7,46,active
#Slender_Wiv,2.03.0054,3,9,active
#Slender_Wiv,3.01.0059,2,8,active
#Slender_Wiv,3.01.0061,1,4,active
#Slender_Wiv,3.02.0066,4,36,active
#Slender_Wiv,3.04.0089,21,173,active
#Slender_Wiv,3.04.0090,1,3,active
#Slender_Wiv,5.02.0135,4,36,active
#Slender_Wiv,5.05.0145,17,142,active
#WilliamPage_Wiv,4.01.0104,13,37,active
1.01.0001,#HughEvans_Wiv,34,197,passive
1.01.0001,#Shallow_2H4,55,412,passive
1.01.0001,#Slender_Wiv,55,421,passive
1.01.0002,#HughEvans_Wiv,29,213,passive
1.01.0002,#MasterPage_Wiv,24,187,passive
1.01.0002,#Shallow_2H4,18,120,passive
1.01.0002,#Slender_Wiv,31,230,passive
1.01.0003,#Bardolph_1H4,71,490,passive
1.01.0003,#Falstaff_1H4,61,438,passive
1.01.0003,#HughEvans_Wiv,62,403,passive
1.01.0003,#MasterPage_Wiv,75,511,passive
1.01.0003,#Nym_H5,73,487,passive
1.01.0003,#Pistol_2H4,71,487,passive
1.01.0003,#Shallow_2H4,73,499,passive
1.01.0003,#Slender_Wiv,53,360,passive
1.01.0004,#AnnePage_Wiv,2,9,passive
1.01.0004,#Bardolph_1H4,2,9,passive
1.01.0004,#Falstaff_1H4,2,9,passive
1.01.0004,#HughEvans_Wiv,2,9,passive
1.01.0004,#Nym_H5,2,9,passive
1.01.0004,#Pistol_2H4,2,9,passive
