act,scene,stagegroup,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
2,4,31,#SERVANTS.FALSTAFF.1_2H4,0,0,106,14
2,4,32,#Bardolph_1H4,0,0,60,9
2,4,32,#DRAWERS.Francis_1H4,0,0,60,9
2,4,32,#MUSICIANS_2H4,0,0,60,9
2,4,32,#MistressQuickly_1H4,0,0,60,9
2,4,33,#Bardolph_1H4,0,0,902,124
2,4,33,#DRAWERS.Francis_1H4,0,0,902,124
2,4,33,#MUSICIANS_2H4,0,0,902,124
2,4,33,#SERVANTS.FALSTAFF.1_2H4,0,0,902,124
2,4,34,#Bardolph_1H4,0,0,96,14
2,4,34,#DollTearsheet_2H4,0,0,96,14
2,4,34,#Falstaff_1H4,0,0,96,14
2,4,34,#MUSICIANS_2H4,0,0,96,14
2,4,34,#MistressQuickly_1H4,0,0,96,14
2,4,34,#Poins_1H4,0,0,96,14
2,4,34,#SERVANTS.FALSTAFF.1_2H4,0,0,96,14
2,4,35,#Bardolph_1H4,0,0,17,2
2,4,35,#DollTearsheet_2H4,0,0,17,2
2,4,35,#MUSICIANS_2H4,0,0,17,2
2,4,35,#MistressQuickly_1H4,0,0,17,2
2,4,35,#SERVANTS.FALSTAFF.1_2H4,0,0,17,2
2,4,36,#DollTearsheet_2H4,0,0,10,3
2,4,36,#MUSICIANS_2H4,0,0,10,3
2,4,36,#MistressQuickly_1H4,0,0,10,3
2,4,36,#SERVANTS.FALSTAFF.1_2H4,0,0,10,3
2,4,37,#MUSICIANS_2H4,0,0,86,11
2,4,37,#MistressQuickly_1H4,0,0,86,11
2,4,37,#SERVANTS.FALSTAFF.1_2H4,0,0,86,11
2,4,38,#DollTearsheet_2H4,0,0,24,4
2,4,39,#DollTearsheet_2H4,0,0,28,6
3,1,40,#SERVANTS.HENRY_2H4,0,0,26,3
3,1,42,#Blunt_2H4,0,0,587,81
3,1,42,#Surrey_2H4,0,0,587,81
3,2,44,#Man_2H4,0,0,211,26
3,2,44,#Silence_2H4,0,0,211,26
3,2,45,#Bardolph_1H4,0,0,156,20
3,2,45,#Man_2H4,0,0,156,20
3,2,46,#Bardolph_1H4,0,0,793,122
3,2,46,#Man_2H4,0,0,793,122
3,2,47,#Man_2H4,0,0,191,23
3,2,47,#Shadow_2H4,0,0,191,23
3,2,47,#Wart_2H4,0,0,191,23
3,2,48,#Bullcalf_2H4,0,0,79,13
3,2,48,#Feeble_2H4,0,0,79,13
3,2,48,#Man_2H4,0,0,79,13
3,2,48,#Mouldy_2H4,0,0,79,13
3,2,48,#Shadow_2H4,0,0,79,13
3,2,48,#Silence_2H4,0,0,79,13
3,2,48,#Wart_2H4,0,0,79,13
3,2,49,#Feeble_2H4,0,0,388,48
3,2,49,#Man_2H4,0,0,388,48
3,2,49,#Shadow_2H4,0,0,388,48
3,2,49,#Silence_2H4,0,0,388,48
3,2,49,#Wart_2H4,0,0,388,48
3,2,50,#Bardolph_1H4,0,0,6,1
3,2,50,#Feeble_2H4,0,0,6,1
3,2,50,#Man_2H4,0,0,6,1
3,2,50,#Shadow_2H4,0,0,6,1
3,2,50,#Wart_2H4,0,0,6,1
4,1,52,#LordBardolph_2H4,0,0,130,19
4,1,52,#SOLDIERS.REBEL_2H4,0,0,130,19
4,1,53,#Archbishop_1H4,0,0,54,7
4,1,53,#LordBardolph_2H4,0,0,54,7
4,1,53,#SOLDIERS.REBEL_2H4,0,0,54,7
4,1,54,#LordBardolph_2H4,0,0,1228,166
4,1,54,#MESSENGERS.1_2H4,0,0,1228,166
4,1,54,#SOLDIERS.REBEL_2H4,0,0,1228,166
4,1,55,#LordBardolph_2H4,0,0,322,44
4,1,55,#MESSENGERS.1_2H4,0,0,322,44
4,1,55,#SOLDIERS.REBEL_2H4,0,0,322,44
4,1,56,#Archbishop_1H4,0,0,18,2
4,1,56,#Hastings_2H4,0,0,18,2
4,1,56,#LordBardolph_2H4,0,0,18,2
4,1,56,#MESSENGERS.1_2H4,0,0,18,2
4,1,56,#Mowbray_2H4,0,0,18,2
4,1,56,#SOLDIERS.REBEL_2H4,0,0,18,2
4,1,57,#LordBardolph_2H4,0,0,746,106
4,1,57,#MESSENGERS.1_2H4,0,0,746,106
4,1,57,#SOLDIERS.HENRY_2H4,0,0,746,106
4,1,57,#SOLDIERS.REBEL_2H4,0,0,746,106
4,1,58,#Hastings_2H4,0,0,37,7
4,1,58,#LordBardolph_2H4,0,0,37,7
4,1,58,#MESSENGERS.1_2H4,0,0,37,7
4,1,58,#Mowbray_2H4,0,0,37,7
4,1,58,#SOLDIERS.HENRY_2H4,0,0,37,7
4,1,58,#SOLDIERS.REBEL_2H4,0,0,37,7
4,1,59,#Archbishop_1H4,0,0,8,1
4,1,59,#LordBardolph_2H4,0,0,8,1
4,1,59,#MESSENGERS.1_2H4,0,0,8,1
4,1,59,#Mowbray_2H4,0,0,8,1
4,1,59,#SOLDIERS.HENRY_2H4,0,0,8,1
4,1,59,#SOLDIERS.REBEL_2H4,0,0,8,1
4,1,60,#Archbishop_1H4,0,0,28,4
4,1,60,#LordBardolph_2H4,0,0,28,4
4,1,60,#MESSENGERS.1_2H4,0,0,28,4
4,1,60,#Mowbray_2H4,0,0,28,4
4,1,60,#SOLDIERS.HENRY_2H4,0,0,28,4
4,1,60,#SOLDIERS.REBEL_2H4,0,0,28,4
4,1,61,#LordBardolph_2H4,0,0,170,24
4,1,61,#MESSENGERS.1_2H4,0,0,170,24
4,1,61,#SOLDIERS.HENRY_2H4,0,0,170,24
4,1,61,#SOLDIERS.REBEL_2H4,0,0,170,24
4,2,63,#Blunt_2H4,0,0,15,2
4,2,63,#Colevile_2H4,0,0,15,2
4,2,63,#Falstaff_1H4,0,0,15,2
4,2,63,#SOLDIERS.HENRY_2H4,0,0,15,2
4,2,63,#Westmoreland_1H4,0,0,15,2
4,2,64,#Blunt_2H4,0,0,382,46
4,2,64,#SOLDIERS.HENRY_2H4,0,0,382,46
4,2,65,#Blunt_2H4,0,0,31,5
4,2,65,#Colevile_2H4,0,0,31,5
4,2,65,#Falstaff_1H4,0,0,31,5
4,2,65,#SOLDIERS.HENRY_2H4,0,0,31,5
4,2,66,#SOLDIERS.HENRY_2H4,0,0,86,12
4,2,66,#Westmoreland_1H4,0,0,86,12
4,3,69,#ATTENDANTS_2H4,0,0,616,86
4,3,70,#ATTENDANTS_2H4,0,0,99,14
4,3,70,#Clarence_2H4,0,0,99,14
4,3,70,#Gloucester_2H4,0,0,99,14
4,3,70,#Warwick_2H4,0,0,99,14
4,3,71,#ATTENDANTS_2H4,0,0,373,51
4,3,72,#ATTENDANTS_2H4,0,0,98,15
4,3,72,#Harcourt_2H4,0,0,98,15
4,3,72,#HenryIV_1H4,0,0,98,15
4,3,72,#Westmoreland_1H4,0,0,98,15
4,3,73,#HenryIV_1H4,0,0,217,29
4,3,75,#ATTENDANTS_2H4,0,0,121,16
4,3,76,#ATTENDANTS_2H4,0,0,124,19
4,3,76,#Clarence_2H4,0,0,124,19
4,3,76,#Gloucester_2H4,0,0,124,19
4,3,77,#ATTENDANTS_2H4,0,0,72,9
4,3,77,#Clarence_2H4,0,0,72,9
4,3,77,#Gloucester_2H4,0,0,72,9
4,3,78,#ATTENDANTS_2H4,0,0,16,2
4,3,78,#Clarence_2H4,0,0,16,2
4,3,78,#Gloucester_2H4,0,0,16,2
4,3,78,#HenryV_H5,0,0,16,2
4,3,78,#Warwick_2H4,0,0,16,2
4,3,80,#ATTENDANTS_2H4,0,0,56,8
4,3,81,#ATTENDANTS_2H4,0,0,66,9
4,3,81,#Bedford_H5,0,0,66,9
4,3,81,#HenryV_H5,0,0,66,9
