act,scene,stagegroup,speaker,onstage,n_tokens,n_lines
3,2,38,#Countess_AWW,#Countess_AWW,100,14
3,2,39,#Countess_AWW,#Countess_AWW #Fool_AWW,9,2
3,2,39,#Fool_AWW,#Countess_AWW #Fool_AWW,87,10
3,2,40,#Countess_AWW,#Countess_AWW #GENTLEMEN.1_AWW #GENTLEMEN.2_AWW #Helen_AWW,208,30
3,2,40,#GENTLEMEN.1_AWW,#Countess_AWW #GENTLEMEN.1_AWW #GENTLEMEN.2_AWW #Helen_AWW,61,11
3,2,40,#GENTLEMEN.2_AWW,#Countess_AWW #GENTLEMEN.1_AWW #GENTLEMEN.2_AWW #Helen_AWW,79,13
3,2,40,#Helen_AWW,#Countess_AWW #GENTLEMEN.1_AWW #GENTLEMEN.2_AWW #Helen_AWW,75,11
3,2,41,#Helen_AWW,#Helen_AWW,259,31
3,3,42,#Bertram_AWW,#Bertram_AWW #Duke_AWW #Parolles_AWW #SOLDIERS_AWW,56,8
3,3,42,#Duke_AWW,#Bertram_AWW #Duke_AWW #Parolles_AWW #SOLDIERS_AWW,38,6
3,4,43,#Countess_AWW,#Countess_AWW #Steward_AWW,207,26
3,4,43,#Steward_AWW,#Countess_AWW #Steward_AWW,137,18
3,5,44,#Diana_AWW,#CITIZENS_AWW #Diana_AWW #Mariana_AWW #Widow_AWW,17,3
3,5,44,#Mariana_AWW,#CITIZENS_AWW #Diana_AWW #Mariana_AWW #Widow_AWW,152,17
3,5,44,#Widow_AWW,#CITIZENS_AWW #Diana_AWW #Mariana_AWW #Widow_AWW,72,11
3,5,45,#Diana_AWW,#CITIZENS_AWW #Diana_AWW #Helen_AWW #Mariana_AWW #Widow_AWW,66,11
