act,scene,stagegroup,speaker,onstage,n_tokens,n_lines
3,1,38,#RichardIII_R3,#ATTENDANTS_R3 #Buckingham_R3 #Cardinal_R3 #Catesby_R3 #EdwardV_R3 #RichardIII_R3,96,13
3,1,39,#EdwardV_R3,#ATTENDANTS.0_R3 #ATTENDANTS_R3 #Buckingham_R3 #Cardinal_R3 #Catesby_R3 #EdwardV_R3 #MayorOfLondon_R3 #RichardIII_R3,47,5
3,1,39,#MayorOfLondon_R3,#ATTENDANTS.0_R3 #ATTENDANTS_R3 #Buckingham_R3 #Cardinal_R3 #Catesby_R3 #EdwardV_R3 #MayorOfLondon_R3 #RichardIII_R3,9,1
3,1,40,#Buckingham_R3,#ATTENDANTS.0_R3 #ATTENDANTS_R3 #Buckingham_R3 #Cardinal_R3 #Catesby_R3 #EdwardV_R3 #Hastings_3H6 #MayorOfLondon_R3 #RichardIII_R3,152,20
3,1,40,#Cardinal_R3,#ATTENDANTS.0_R3 #ATTENDANTS_R3 #Buckingham_R3 #Cardinal_R3 #Catesby_R3 #EdwardV_R3 #Hastings_3H6 #MayorOfLondon_R3 #RichardIII_R3,74,9
3,1,40,#EdwardV_R3,#ATTENDANTS.0_R3 #ATTENDANTS_R3 #Buckingham_R3 #Cardinal_R3 #Catesby_R3 #EdwardV_R3 #Hastings_3H6 #MayorOfLondon_R3 #RichardIII_R3,17,2
3,1,40,#Hastings_3H6,#ATTENDANTS.0_R3 #ATTENDANTS_R3 #Buckingham_R3 #Cardinal_R3 #Catesby_R3 #EdwardV_R3 #Hastings_3H6 #MayorOfLondon_R3 #RichardIII_R3,43,6
3,1,41,#Buckingham_R3,#ATTENDANTS.0_R3 #ATTENDANTS_R3 #Buckingham_R3 #Catesby_R3 #EdwardV_R3 #MayorOfLondon_R3 #RichardIII_R3,23,4
3,1,41,#EdwardV_R3,#ATTENDANTS.0_R3 #ATTENDANTS_R3 #Buckingham_R3 #Catesby_R3 #EdwardV_R3 #MayorOfLondon_R3 #RichardIII_R3,153,20
3,1,41,#RichardIII_R3,#ATTENDANTS.0_R3 #ATTENDANTS_R3 #Buckingham_R3 #Catesby_R3 #EdwardV_R3 #MayorOfLondon_R3 #RichardIII_R3,78,10
3,1,42,#Buckingham_R3,#ATTENDANTS.0_R3 #ATTENDANTS_R3 #Buckingham_R3 #Cardinal_R3 #Catesby_R3 #EdwardV_R3 #Hastings_3H6 #MayorOfLondon_R3 #RichardIII_R3 #York_R3,38,5
