act,scene,stagegroup,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
3,6,50,#LORDS.DUMAINE.2_AWW,87,10,217,27
3,6,51,#Bertram_AWW,69,8,80,10
3,6,51,#LORDS.DUMAINE.2_AWW,11,2,80,10
3,7,52,#Helen_AWW,287,38,394,54
3,7,52,#Widow_AWW,107,16,394,54
4,1,53,#LORDS.DUMAINE.1_AWW,162,21,181,24
4,1,53,#SOLDIERS.Interpreter_AWW,19,3,181,24
4,1,54,#LORDS.DUMAINE.1_AWW,60,14,464,72
4,1,54,#Parolles_AWW,321,43,464,72
4,1,54,#SOLDIERS.Interpreter_AWW,76,14,464,72
4,1,54,#SOLDIERS_AWW,7,1,464,72
4,1,55,#LORDS.DUMAINE.1_AWW,24,4,24,4
4,1,56,#LORDS.DUMAINE.1_AWW,19,3,26,5
4,1,56,#SOLDIERS.0.1_AWW,7,2,26,5
4,2,57,#Bertram_AWW,242,34,580,80
4,2,57,#Diana_AWW,338,46,580,80
4,2,58,#Diana_AWW,73,8,73,8
4,3,59,#LORDS.DUMAINE.1_AWW,301,41,570,77
4,3,59,#LORDS.DUMAINE.2_AWW,269,36,570,77
4,3,60,#LORDS.DUMAINE.1_AWW,5,1,64,8
4,3,60,#LORDS.DUMAINE.2_AWW,25,3,64,8
4,3,60,#Servant_AWW,34,4,64,8
4,3,61,#Bertram_AWW,106,13,151,20
4,3,61,#LORDS.DUMAINE.2_AWW,45,7,151,20
4,3,62,#Bertram_AWW,23,4,120,16
4,3,62,#LORDS.DUMAINE.2_AWW,97,12,120,16
4,3,63,#Bertram_AWW,127,21,1575,222
4,3,63,#LORDS.DUMAINE.1_AWW,145,23,1575,222
4,3,63,#LORDS.DUMAINE.2_AWW,63,9,1575,222
4,3,63,#Parolles_AWW,781,96,1575,222
4,3,63,#SOLDIERS.Interpreter_AWW,459,73,1575,222
4,3,64,#Parolles_AWW,7,1,60,8
4,3,64,#SOLDIERS.Interpreter_AWW,53,7,60,8
4,3,65,#Parolles_AWW,89,11,89,11
4,4,66,#Diana_AWW,16,3,296,40
4,4,66,#Helen_AWW,265,34,296,40
