act,scene,stagegroup,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
2,3,24,#SERVANTS_WT,0,0,512,68
2,3,25,#ATTENDANTS.0.1_WT,0,0,6,2
2,3,25,#ATTENDANTS_WT,0,0,6,2
2,3,25,#SERVANTS.0_WT,0,0,6,2
2,3,25,#SERVANTS_WT,0,0,6,2
2,3,26,#ATTENDANTS_WT,0,0,110,17
2,3,26,#SERVANTS.0_WT,0,0,110,17
2,3,26,#SERVANTS_WT,0,0,110,17
3,2,28,#ATTENDANTS_WT,0,0,59,8
3,2,28,#OFFICERS_WT,0,0,59,8
3,2,29,#ATTENDANTS_WT,0,0,14,2
3,2,29,#Leontes_WT,0,0,14,2
3,2,29,#OFFICERS_WT,0,0,14,2
3,2,30,#ATTENDANTS_WT,0,0,853,113
3,2,30,#LADIES_WT,0,0,853,113
3,2,30,#OFFICERS_WT,0,0,853,113
3,2,30,#Paulina_WT,0,0,853,113
3,2,31,#ATTENDANTS_WT,0,0,15,3
